"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene_type"	"gene_name"	"annotation"
"kfl00093_0070"	6.82810655902601	6.42131091400694	30.1697431705281	0.000427870228587556	0.016513116634551	0.758103290880763	"activated"	"kfl00093_0070"	"photosystem II 22 kDa protein, PsbS"
"kfl00458_0030"	5.52738983228409	5.51343830570471	43.9564560043275	0.000177015060358787	0.0129836855615037	1.94111595935206	"activated"	"kfl00458_0030"	"hypothetical protein"
"kfl00104_0170"	5.45783756717362	3.72778031412118	5.90218864301979	0.0186455637131466	0.0837528254653301	-4.53292698494211	"ns"	"kfl00104_0170"	"hypothetical protein"
"kfl00361_0130"	5.30243062314548	3.7314944945328	38.4544439314426	0.000242240023669937	0.0137339491020764	1.5267950985375	"activated"	"kfl00361_0130"	"hypothetical protein"
"kfl00385_0010"	5.179841197111	3.62515812234348	5.41750583252293	0.0225596944046009	0.0937637298691225	-4.79976054717166	"ns"	"kfl00385_0010"	"hypothetical protein"
"kfl00038_0225"	5.14196990812494	2.57098495406247	210.703815542474	4.46763237905988e-06	0.0041709955438452	5.45260250523883	"activated"	"kfl00038_0225"	"hypothetical protein"
"kfl00009_0400"	4.8191823738039	2.40959118690195	67.3751452600973	6.49715336905149e-05	0.00942218926093543	3.19281481362836	"activated"	"kfl00009_0400"	"hypothetical protein"
"kfl00052_0260"	4.51637930071772	6.9595778304511	26.8051796973053	0.000564463631037835	0.0184727941732916	0.37775859273181	"activated"	"kfl00052_0260"	"hypothetical protein"
"kfl00009_0210"	4.50042092182902	2.25021046091451	133.770704658142	1.29837029741593e-05	0.00588373968939417	4.79396728830026	"activated"	"kfl00009_0210"	"hypothetical protein"
"kfl00199_0150"	4.43725917591601	3.03002395240683	5.75218583593804	0.0197476703064363	0.0865748069375964	-4.61341072020089	"ns"	"kfl00199_0150"	"hypothetical protein"
"kfl00886_0030"	4.38192852477542	9.031595498482	21.2233569079491	0.000975004312273146	0.0215761414645659	-0.380421653284298	"activated"	"kfl00886_0030"	"hypothetical protein"
"kfl00700_0020"	4.3788729389912	7.49516060083634	43.9346848371264	0.000177220924957483	0.0129836855615037	1.93959629880233	"activated"	"kfl00700_0020"	"hypothetical protein"
"kfl00576_0010"	4.3781623182594	4.75324342280338	10.8068192709597	0.00469417126976755	0.0417931108415453	-2.58994319749208	"activated"	"kfl00576_0010"	"hypothetical protein"
"kfl00094_0260"	4.23490744424359	8.92918284253769	30.1878070060647	0.000427270418743569	0.016513116634551	0.760020612518478	"activated"	"kfl00094_0260"	"heat shock protein"
"kfl00138_0160"	4.20939415343031	2.10469707671516	18.8205767755347	0.001291195377993	0.0244068893578822	-0.772993410271429	"activated"	"kfl00138_0160"	"hypothetical protein"
"kfl00166_0120"	4.14890634219537	2.07445317109768	34.659147503591	0.000309085761119961	0.0151394348406755	1.19987698995648	"activated"	"kfl00166_0120"	"hypothetical protein"
"kfl00385_0020"	4.08191324300856	4.47918888604095	13.9794721985256	0.00258322994037794	0.0322295206714091	-1.74747212390247	"activated"	"kfl00385_0020"	"hypothetical protein"
"kfl00188_0240"	4.07728686939928	2.03864343469964	40.133191164642	0.000219138460192836	0.0136504250760617	1.6600363109424	"activated"	"kfl00188_0240"	"hypothetical protein"
